Age,Attrition,Department,DistanceFromHome,EducationField,EmployeeNumber,Gender,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate
41,Yes,Sales,1,Life Sciences,1,Female,Sales Executive,4,Single,5993,19479
49,No,Research & Development,8,Life Sciences,2,Male,Research Scientist,2,Married,5130,24907
37,Yes,Research & Development,2,Other,4,Male,Laboratory Technician,3,Single,2090,2396
33,No,Research & Development,3,Life Sciences,5,Female,Research Scientist,3,Married,2909,23159
27,No,Research & Development,2,Medical,7,Male,Laboratory Technician,2,Married,3468,16632
32,No,Research & Development,2,Life Sciences,8,Male,Laboratory Technician,4,Single,3068,11864
59,No,Research & Development,3,Medical,10,Female,Laboratory Technician,1,Married,2670,9964
30,No,Research & Development,24,Life Sciences,11,Male,Laboratory Technician,3,Divorced,2693,13335
38,No,Research & Development,23,Life Sciences,12,Male,Manufacturing Director,3,Single,9526,8787
36,No,Research & Development,27,Medical,13,Male,Healthcare Representative,3,Married,5237,16577
35,No,Research & Development,16,Medical,14,Male,Laboratory Technician,2,Married,2426,16479
29,No,Research & Development,15,Life Sciences,15,Female,Laboratory Technician,3,Single,4193,12682
31,No,Research & Development,26,Life Sciences,16,Male,Research Scientist,3,Divorced,2911,15170
34,No,Research & Development,19,Medical,18,Male,Laboratory Technician,4,Divorced,2661,8758
28,Yes,Research & Development,24,Life Sciences,19,Male,Laboratory Technician,3,Single,2028,12947
29,No,Research & Development,21,Life Sciences,20,Female,Manufacturing Director,1,Divorced,9980,10195
32,No,Research & Development,5,Life Sciences,21,Male,Research Scientist,2,Divorced,3298,15053
22,No,Research & Development,16,Medical,22,Male,Laboratory Technician,4,Divorced,2935,7324
53,No,Sales,2,Life Sciences,23,Female,Manager,4,Married,15427,22021
38,No,Research & Development,2,Life Sciences,24,Male,Research Scientist,4,Single,3944,4306
24,No,Research & Development,11,Other,26,Female,Manufacturing Director,3,Divorced,4011,8232
36,Yes,Sales,9,Life Sciences,27,Male,Sales Representative,1,Single,3407,6986
34,No,Research & Development,7,Life Sciences,28,Female,Research Director,2,Single,11994,21293
21,No,Research & Development,15,Life Sciences,30,Male,Research Scientist,4,Single,1232,19281
34,Yes,Research & Development,6,Medical,31,Male,Research Scientist,1,Single,2960,17102
53,No,Research & Development,5,Other,32,Female,Manager,3,Divorced,19094,10735
32,Yes,Research & Development,16,Life Sciences,33,Female,Research Scientist,1,Single,3919,4681
42,No,Sales,8,Marketing,35,Male,Sales Executive,2,Married,6825,21173
44,No,Research & Development,7,Medical,36,Female,Healthcare Representative,4,Married,10248,2094
46,No,Sales,2,Marketing,38,Female,Manager,1,Single,18947,22822
33,No,Research & Development,2,Medical,39,Male,Laboratory Technician,4,Single,2496,6670
44,No,Research & Development,10,Other,40,Male,Healthcare Representative,4,Married,6465,19121
30,No,Research & Development,9,Medical,41,Male,Laboratory Technician,3,Single,2206,16117
39,Yes,Sales,5,Technical Degree,42,Male,Sales Representative,4,Married,2086,3335
24,Yes,Research & Development,1,Medical,45,Male,Research Scientist,4,Married,2293,3020
43,No,Research & Development,2,Medical,46,Female,Research Scientist,3,Divorced,2645,21923
50,Yes,Sales,3,Marketing,47,Male,Sales Representative,3,Married,2683,3810
35,No,Sales,2,Marketing,49,Female,Sales Representative,4,Married,2014,9687
36,No,Research & Development,5,Life Sciences,51,Female,Research Scientist,1,Married,3419,13072
33,No,Sales,1,Life Sciences,52,Female,Sales Executive,1,Married,5376,3193
35,No,Research & Development,4,Other,53,Male,Laboratory Technician,4,Divorced,1951,10910
27,No,Research & Development,2,Life Sciences,54,Female,Laboratory Technician,1,Divorced,2341,19715
26,Yes,Research & Development,25,Life Sciences,55,Male,Laboratory Technician,3,Single,2293,10558
27,No,Sales,8,Life Sciences,56,Male,Sales Executive,3,Single,8726,2975
30,No,Research & Development,1,Medical,57,Female,Laboratory Technician,4,Single,4011,10781
41,Yes,Research & Development,12,Technical Degree,58,Female,Research Director,3,Married,19545,16280
34,No,Sales,23,Marketing,60,Male,Sales Executive,3,Single,4568,10034
37,No,Research & Development,19,Life Sciences,61,Male,Research Scientist,2,Married,3022,10227
46,No,Sales,5,Marketing,62,Male,Sales Executive,4,Single,5772,20445
35,No,Research & Development,8,Life Sciences,63,Male,Laboratory Technician,4,Married,2269,4892
48,Yes,Research & Development,1,Life Sciences,64,Male,Laboratory Technician,3,Single,5381,19294
28,Yes,Research & Development,5,Technical Degree,65,Male,Laboratory Technician,3,Single,3441,11179
44,No,Sales,1,Marketing,68,Female,Sales Executive,1,Divorced,5454,4009
35,No,Research & Development,11,Medical,70,Male,Healthcare Representative,1,Married,9884,8302
26,No,Sales,23,Marketing,72,Female,Sales Executive,4,Married,4157,21436
33,No,Research & Development,1,Life Sciences,73,Female,Research Director,4,Single,13458,15146
35,No,Sales,18,Life Sciences,74,Male,Sales Executive,1,Married,9069,11031
35,No,Research & Development,23,Medical,75,Female,Laboratory Technician,1,Married,4014,16002
31,No,Research & Development,7,Life Sciences,76,Male,Laboratory Technician,4,Divorced,5915,9528
37,No,Research & Development,1,Life Sciences,77,Male,Manufacturing Director,3,Divorced,5993,2689
32,No,Research & Development,1,Medical,78,Male,Manufacturing Director,4,Married,6162,10877
38,No,Research & Development,29,Life Sciences,79,Female,Laboratory Technician,4,Single,2406,5456
50,No,Research & Development,7,Medical,80,Female,Research Director,3,Divorced,18740,16701
59,No,Sales,25,Life Sciences,81,Female,Sales Executive,1,Single,7637,2354
36,No,Research & Development,8,Technical Degree,83,Female,Healthcare Representative,3,Divorced,10096,8202
55,No,Research & Development,8,Medical,84,Female,Manager,3,Divorced,14756,19730
36,No,Research & Development,11,Life Sciences,85,Male,Manufacturing Director,2,Single,6499,22656
45,No,Research & Development,7,Life Sciences,86,Male,Research Scientist,1,Divorced,9724,18787
35,No,Research & Development,1,Medical,88,Male,Research Scientist,1,Married,2194,5868
36,Yes,Research & Development,9,Medical,90,Male,Research Scientist,3,Married,3388,21777
59,No,Sales,1,Life Sciences,91,Female,Sales Executive,3,Single,5473,24668
29,No,Research & Development,2,Life Sciences,94,Male,Research Scientist,2,Married,2703,4956
31,No,Research & Development,1,Medical,95,Male,Research Scientist,2,Single,2501,18775
32,No,Research & Development,1,Life Sciences,96,Male,Research Scientist,2,Married,6220,7346
36,No,Research & Development,6,Life Sciences,97,Female,Laboratory Technician,4,Married,3038,22002
31,No,Research & Development,8,Life Sciences,98,Female,Manufacturing Director,4,Single,4424,20682
35,No,Sales,1,Marketing,100,Male,Sales Executive,1,Single,4312,23016
45,No,Research & Development,6,Other,101,Male,Research Director,1,Married,13245,15067
37,No,Research & Development,7,Medical,102,Male,Research Director,3,Single,13664,25258
46,No,Human Resources,5,Medical,103,Male,Human Resources,2,Divorced,5021,10425
30,No,Research & Development,1,Life Sciences,104,Male,Laboratory Technician,4,Married,5126,15998
35,No,Research & Development,1,Medical,105,Male,Research Scientist,3,Single,2859,26278
55,No,Sales,1,Life Sciences,106,Male,Sales Executive,4,Married,10239,18092
38,No,Research & Development,6,Medical,107,Female,Research Scientist,4,Divorced,5329,15717
34,No,Research & Development,1,Medical,110,Male,Manufacturing Director,2,Married,4325,17736
56,No,Research & Development,7,Life Sciences,112,Male,Manufacturing Director,4,Single,7260,21698
23,No,Sales,2,Technical Degree,113,Male,Sales Representative,1,Divorced,2322,9518
51,No,Research & Development,9,Life Sciences,116,Male,Laboratory Technician,4,Married,2075,18725
30,No,Research & Development,2,Life Sciences,117,Male,Healthcare Representative,4,Married,4152,15830
46,Yes,Sales,9,Medical,118,Male,Sales Executive,4,Single,9619,13596
40,No,Research & Development,1,Life Sciences,119,Male,Healthcare Representative,2,Married,13503,14115
51,No,Sales,21,Marketing,120,Male,Sales Executive,4,Single,5441,8423
30,No,Sales,4,Medical,121,Female,Sales Executive,2,Divorced,5209,19760
46,No,Research & Development,1,Medical,124,Male,Healthcare Representative,1,Married,10673,3142
32,No,Sales,6,Medical,125,Male,Sales Executive,3,Single,5010,24301
54,No,Research & Development,2,Technical Degree,126,Female,Research Director,3,Married,13549,24001
24,No,Sales,3,Other,128,Female,Sales Executive,3,Married,4999,17519
28,No,Sales,4,Medical,129,Male,Sales Executive,3,Married,4221,8863
58,No,Sales,10,Medical,131,Male,Sales Executive,3,Single,13872,24409
44,No,Research & Development,23,Medical,132,Male,Laboratory Technician,2,Married,2042,25043
37,Yes,Human Resources,6,Human Resources,133,Male,Human Resources,1,Divorced,2073,23648
32,No,Research & Development,1,Life Sciences,134,Male,Research Scientist,1,Single,2956,15178
20,Yes,Research & Development,6,Life Sciences,137,Female,Laboratory Technician,4,Single,2926,19783
34,No,Research & Development,6,Other,138,Female,Research Scientist,3,Single,4809,12482
37,No,Research & Development,2,Life Sciences,139,Male,Healthcare Representative,4,Divorced,5163,15850
59,No,Human Resources,2,Human Resources,140,Female,Manager,4,Married,18844,21922
50,No,Research & Development,1,Life Sciences,141,Female,Research Director,2,Married,18172,9755
25,Yes,Sales,5,Marketing,142,Male,Sales Executive,3,Single,5744,26959
25,No,Research & Development,7,Medical,143,Male,Research Scientist,4,Married,2889,26897
22,No,Research & Development,15,Medical,144,Female,Laboratory Technician,4,Single,2871,23785
51,No,Research & Development,1,Medical,145,Female,Healthcare Representative,1,Single,7484,25796
34,Yes,Research & Development,7,Life Sciences,147,Male,Laboratory Technician,3,Single,6074,22887
54,No,Human Resources,26,Human Resources,148,Female,Manager,4,Single,17328,13871
24,No,Research & Development,18,Life Sciences,150,Male,Laboratory Technician,3,Married,2774,13257
34,No,Research & Development,6,Life Sciences,151,Female,Research Scientist,2,Divorced,4505,15000
37,No,Sales,3,Life Sciences,152,Male,Sales Executive,4,Single,7428,14506
34,No,Research & Development,5,Medical,153,Female,Manager,1,Single,11631,5615
36,No,Sales,11,Technical Degree,154,Female,Sales Executive,4,Married,9738,22952
36,No,Research & Development,3,Life Sciences,155,Female,Laboratory Technician,4,Divorced,2835,2561
43,No,Sales,26,Life Sciences,158,Male,Manager,4,Married,16959,19494
30,No,Research & Development,23,Life Sciences,159,Male,Research Scientist,3,Divorced,2613,22310
33,No,Sales,22,Marketing,160,Male,Sales Executive,2,Married,6146,15480
56,Yes,Research & Development,14,Life Sciences,161,Female,Research Scientist,2,Married,4963,4510
51,No,Research & Development,6,Life Sciences,162,Male,Research Director,3,Single,19537,6462
31,Yes,Sales,6,Life Sciences,163,Male,Sales Executive,3,Married,6172,20739
26,No,Research & Development,6,Other,164,Female,Research Scientist,2,Married,2368,23300
58,Yes,Research & Development,23,Medical,165,Female,Healthcare Representative,4,Married,10312,3465
19,Yes,Sales,22,Marketing,167,Male,Sales Representative,3,Single,1675,26820
22,No,Research & Development,2,Technical Degree,169,Male,Laboratory Technician,4,Married,2523,19299
49,No,Research & Development,20,Medical,170,Female,Manufacturing Director,1,Married,6567,5549
43,No,Research & Development,28,Medical,171,Female,Research Scientist,3,Single,4739,16090
50,No,Sales,12,Marketing,174,Female,Sales Executive,4,Single,9208,6645
31,Yes,Sales,20,Life Sciences,175,Female,Sales Executive,3,Married,4559,24788
41,No,Sales,9,Life Sciences,176,Male,Sales Executive,3,Divorced,8189,21196
26,No,Human Resources,25,Life Sciences,177,Female,Human Resources,3,Married,2942,8916
36,No,Research & Development,6,Medical,178,Male,Manufacturing Director,2,Divorced,4941,2819
51,Yes,Research & Development,8,Life Sciences,179,Male,Manufacturing Director,4,Single,10650,25150
39,No,Sales,4,Life Sciences,182,Female,Sales Executive,3,Married,5902,14590
