Age,Attrition,Department,EmployeeNumber,Gender,JobLevel,JobRole,MaritalStatus,MonthlyIncome,MonthlyRate,OverTime
41,Yes,Sales,1,Female,2,Sales Executive,Single,5993,19479,Yes
49,No,Research & Development,2,Male,2,Research Scientist,Married,5130,24907,No
37,Yes,Research & Development,4,Male,1,Laboratory Technician,Single,2090,2396,Yes
33,No,Research & Development,5,Female,1,Research Scientist,Married,2909,23159,Yes
27,No,Research & Development,7,Male,1,Laboratory Technician,Married,3468,16632,No
32,No,Research & Development,8,Male,1,Laboratory Technician,Single,3068,11864,No
59,No,Research & Development,10,Female,1,Laboratory Technician,Married,2670,9964,Yes
30,No,Research & Development,11,Male,1,Laboratory Technician,Divorced,2693,13335,No
38,No,Research & Development,12,Male,3,Manufacturing Director,Single,9526,8787,No
36,No,Research & Development,13,Male,2,Healthcare Representative,Married,5237,16577,No
35,No,Research & Development,14,Male,1,Laboratory Technician,Married,2426,16479,No
29,No,Research & Development,15,Female,2,Laboratory Technician,Single,4193,12682,Yes
31,No,Research & Development,16,Male,1,Research Scientist,Divorced,2911,15170,No
34,No,Research & Development,18,Male,1,Laboratory Technician,Divorced,2661,8758,No
28,Yes,Research & Development,19,Male,1,Laboratory Technician,Single,2028,12947,Yes
29,No,Research & Development,20,Female,3,Manufacturing Director,Divorced,9980,10195,No
32,No,Research & Development,21,Male,1,Research Scientist,Divorced,3298,15053,Yes
22,No,Research & Development,22,Male,1,Laboratory Technician,Divorced,2935,7324,Yes
53,No,Sales,23,Female,4,Manager,Married,15427,22021,No
38,No,Research & Development,24,Male,1,Research Scientist,Single,3944,4306,Yes
24,No,Research & Development,26,Female,2,Manufacturing Director,Divorced,4011,8232,No
36,Yes,Sales,27,Male,1,Sales Representative,Single,3407,6986,No
34,No,Research & Development,28,Female,3,Research Director,Single,11994,21293,No
21,No,Research & Development,30,Male,1,Research Scientist,Single,1232,19281,No
34,Yes,Research & Development,31,Male,1,Research Scientist,Single,2960,17102,No
53,No,Research & Development,32,Female,5,Manager,Divorced,19094,10735,No
32,Yes,Research & Development,33,Female,1,Research Scientist,Single,3919,4681,Yes
42,No,Sales,35,Male,2,Sales Executive,Married,6825,21173,No
44,No,Research & Development,36,Female,3,Healthcare Representative,Married,10248,2094,No
46,No,Sales,38,Female,5,Manager,Single,18947,22822,No
33,No,Research & Development,39,Male,1,Laboratory Technician,Single,2496,6670,No
44,No,Research & Development,40,Male,2,Healthcare Representative,Married,6465,19121,Yes
30,No,Research & Development,41,Male,1,Laboratory Technician,Single,2206,16117,No
39,Yes,Sales,42,Male,2,Sales Representative,Married,2086,3335,No
24,Yes,Research & Development,45,Male,1,Research Scientist,Married,2293,3020,Yes
43,No,Research & Development,46,Female,1,Research Scientist,Divorced,2645,21923,No
50,Yes,Sales,47,Male,1,Sales Representative,Married,2683,3810,Yes
